name,hex,bin,desc,cat
The Creative/Creation,1,63,Pure creative force,PRIMAL DEFINITION; Creation of Basic Forms
The Receptive,2,0,Pure receptive force,PRIMAL DEFINITION; Creation of Basic Forms
Difficulty at Beginning,3,17,Initial challenges of manifestation,PRIMAL DEFINITION; Creation of Basic Forms
Youthful Folly,4,34,Raw potential seeking form,PRIMAL DEFINITION; Creation of Basic Forms
Waiting/Nourishing,5,23,Patient development,PRIMAL DEFINITION; Creation of Basic Forms
Conflict/Opposition,6,58,Creative tension,PRIMAL DEFINITION; Creation of Basic Forms
Leading/The Army,7,6,Organized direction,PRIMAL DEFINITION; Creation of Basic Forms
Union/Holding Together,8,10,Initial bonding,PRIMAL DEFINITION; Creation of Basic Forms
Treading Carefully,10,15,Mindful progress,EARLY DEVELOPMENT; Building Structure
Small Taming,9,45,Initial restraint,EARLY DEVELOPMENT; Building Structure
Peace,11,12,Harmonious flow,EARLY DEVELOPMENT; Building Structure
Standstill,12,33,Necessary pause,EARLY DEVELOPMENT; Building Structure
Fellowship,13,61,Basic connections,EARLY DEVELOPMENT; Building Structure
Great Possession,14,43,Gathering resources,EARLY DEVELOPMENT; Building Structure
Modesty,15,36,Proper restraint,EARLY DEVELOPMENT; Building Structure
Enthusiasm,16,7,Motivating energy,EARLY DEVELOPMENT; Building Structure
Following,17,46,Adaptability and alignment,INNER GROWTH; Internal Development
Work on What Has Been Spoiled,18,38,Inner correction,INNER GROWTH; Internal Development
Approach,19,18,Drawing near to wisdom,INNER GROWTH; Internal Development
Contemplation,20,39,Inner viewing,INNER GROWTH; Internal Development
Biting Through,21,41,Breaking through barriers,INNER GROWTH; Internal Development
Grace/Beauty,22,37,Inner refinement,INNER GROWTH; Internal Development
Splitting Apart,23,47,Necessary release,INNER GROWTH; Internal Development
Return,24,1,Renewal from within,INNER GROWTH; Internal Development
Innocence,25,57,Testing through purity,CHALLENGES; Testing & Strengthening
Great Taming,26,11,Controlling powerful forces,CHALLENGES; Testing & Strengthening
Nourishment,27,33,Managing resources,CHALLENGES; Testing & Strengthening
Preponderance of the Great,28,30,Handling excess,CHALLENGES; Testing & Strengthening
The Abysmal/Water,29,18,Facing depths,CHALLENGES; Testing & Strengthening
The Clinging/Fire,30,45,Persistent attachment,CHALLENGES; Testing & Strengthening
Influence/Wooing,31,13,Testing through interaction,CHALLENGES; Testing & Strengthening
Duration,32,14,Enduring steadfastly,CHALLENGES; Testing & Strengthening
Retreat,33,49,Strategic withdrawal,TRANSFORMATION; Active Change
Great Power,34,56,Harnessing force,TRANSFORMATION; Active Change
Progress,35,40,Forward movement,TRANSFORMATION; Active Change
Darkening of the Light,36,51,Hidden transformation,TRANSFORMATION; Active Change
Family/Clan,37,53,Group dynamics,TRANSFORMATION; Active Change
Opposition,38,42,Creative tension,TRANSFORMATION; Active Change
Obstruction,39,20,Transformative barriers,TRANSFORMATION; Active Change
Deliverance,40,10,Breaking through,TRANSFORMATION; Active Change
Decrease,41,35,Beneficial reduction,RESOLUTION; Moving Toward Completion
Increase,42,49,Beneficial growth,RESOLUTION; Moving Toward Completion
Breakthrough,43,31,Decisive resolution,RESOLUTION; Moving Toward Completion
Coming to Meet,44,29,Meeting halfway,RESOLUTION; Moving Toward Completion
Gathering Together,45,60,Unity,RESOLUTION; Moving Toward Completion
Pushing Upward,46,6,Ascending movement,RESOLUTION; Moving Toward Completion
Oppression/Exhaustion,47,22,Depletion before renewal,RESOLUTION; Moving Toward Completion
The Well,48,27,Finding foundation,RESOLUTION; Moving Toward Completion
Revolution,49,4,Fundamental transformation,FINAL INTEGRATION; Higher Order Emergence
The Cauldron,50,59,Integration vessel,FINAL INTEGRATION; Higher Order Emergence
The Arousing/Thunder,51,9,Awakening,FINAL INTEGRATION; Higher Order Emergence
Keeping Still/Mountain,52,52,Stabilizing,FINAL INTEGRATION; Higher Order Emergence
Gradual Progress,53,20,Steady integration,FINAL INTEGRATION; Higher Order Emergence
The Marrying Maiden,54,11,Union of forces,FINAL INTEGRATION; Higher Order Emergence
Abundance,55,50,Peak flowering,FINAL INTEGRATION; Higher Order Emergence
The Wanderer,56,32,Freedom in integration,FINAL INTEGRATION; Higher Order Emergence
The Gentle/Wind,57,28,Subtle penetration,COMPLETION & RENEWAL; Return to Source
The Joyous/Lake,58,43,Fulfilled joy,COMPLETION & RENEWAL; Return to Source
Dispersion,59,5,Return to source,COMPLETION & RENEWAL; Return to Source
Limitation,60,19,Final boundaries,COMPLETION & RENEWAL; Return to Source
Inner Truth,61,25,Core realization,COMPLETION & RENEWAL; Return to Source
Small Exceeding,62,1,Transcending limits,COMPLETION & RENEWAL; Return to Source
After Completion,63,2,Full manifestation,COMPLETION & RENEWAL; Return to Source
Before Completion,64,42,Approaching completion,COMPLETION & RENEWAL; Return to Source
